class,species,mass,fmr,lat,lon,temp
reptile,Acanthodactylus_pardalis,4.5,0.2,34.76,11.065,18.867
reptile,Agama_impalearis,54.4,16.8,31.791,-7.092,17.95833397
reptile,Amblyrhynchus_cristatus,1610,91.2,-0.823,-91.096,21.63333321
reptile,Angolosaurus_skoogi,57.4,3,-20.15,13.23,17.16666603
reptile,Callisaurus_draconoides,7.1,1.1,33.707,-115.41,21.38333321
reptile,Chalcides_sexlineatus,7.8,0.7,27.92,-15.547,17.38333321
reptile,Chlamydosaurus_kingii,635,52.4,-12.441,130.87,27.69166565
reptile,Cnemidophorus_hyperythrus,4.3,1.1,22.89,-109.917,23.19166756
reptile,Cnemidophorus_tigris,16.5,4.1,33.707,-115.41,21.38333321
reptile,Coluber_constrictor,132,12.8,33.283,-81.726,17.78333282
reptile,Crotalus_cerastes,129,5,34.717,-118.11,16.16666794
reptile,Crotalus_lepidus,109,4.7,29.229,-103.255,17.57500076
reptile,Ctenophorus_nuchalis,36.8,9.6,-25.925,113.533,22.01666641
reptile,Dipsosaurus_dorsalis,52.5,6.5,33.82,-116.39,20.69999886
reptile,Elgaria_multicarinatus,25.3,2,32.715,-117.157,17.31666565
reptile,Galloti_altantica,11.9,1.5,28.291,-16.629,11.09999943
reptile,Galloti_galloti,25.6,4.6,28.291,-16.629,11.09999943
reptile,Galloti_stehlini,47.3,7.9,28.291,-16.629,11.09999943
reptile,Gopherus_agassizzi,2120,42.9,35.65,-115.25,15.76666641
reptile,Heliobolus_lugubris,3.8,0.8,-25.122,20.345,20.47500038
reptile,Iguana_iguana,860,60.1,12.122,-68.882,27.54999924
reptile,Lacerta_viridis,25.5,5.8,46.123,0.667,11.1916666
reptile,Mabuya_striata,19.5,2.9,-25.122,20.345,20.47500038
reptile,Masticophus_flagellum,124,11.7,34.717,-118.11,16.16666794
reptile,Meroles_anchietae,4,0.6,-22.087,16.972,21.20833206
reptile,Mesalina_olivieri,1.1,0.3,34.76,11.065,18.867
reptile,Microlophus_albemariensis,28.2,3.3,-0.823,-91.096,21.63333321
reptile,Pachydactylus_bibronii,16.6,2.2,-25.122,20.345,20.47500038
reptile,Pedioplanis_lineoocellata,3.3,0.5,-25.122,20.345,20.47500038
reptile,Phrynosoma_platyrhinos,23,2.7,34.997,-118.161,16.09166718
reptile,Podarcis_lilfordi,7.4,1.5,39.622,3.042,16.03333282
reptile,Ptyodactylus_hasselquistii,9.1,1.2,30.867,34.95,18.68333435
reptile,Rhoptropus_afer,2.6,0.2,-23.008611,14.983333,18.94166565
reptile,Sauromalus_obesus,167,15.7,34.036,-117.232,18
reptile,Sceloporus_graciosus,5,0.8,37.435,-113.401,5.64166689
reptile,Sceloporus_jarrovi,16.6,1.9,32.796,-109.724,16.15833282
reptile,Sceloporus_occidentalis,12.1,1.8,34.219,-118.501,16.42499924
reptile,Sceloporus_variabilis,7.7,1.9,19.129,-96.202,25.875
reptile,Sceloporus_virgatus,6.3,1.1,33.828,-111.95,19.625
reptile,Thamnophis_sirtalis,22,5.2,40.631,-120.867,6.8083334
reptile,Tupinambis_teguixin,1170,214,7.767,-68.95,27.60000038
reptile,Urosaurus_nigricaudus,3.2,1.4,24.138,-110.317,22.29166603
reptile,Uta_stansburiana,3.2,0.7,36.634,-116.31,18.375
reptile,Varanus_acanthurus,60,3.7,6.151,81.042,27.25
reptile,Varanus_bengalensis,2560,393,-21.31,116.062,25.95000076
reptile,Varanus_caudolineatus,10.4,3,-27.583,114.667,20.86666679
reptile,varanus_giganteus,7700,807,-21.31,116.062,25.95000076
reptile,Varanus_gouldii,1320,233,-12.7,132.367,27.60000038
reptile,Varanus_komodensis,45200,2430,-8.55,119.45,25.19166565
reptile,Varanus_mertensi,1210,143,-12.75,130.997,27.46666718
reptile,Varanus_panoptes,1350,180,-12.7,132.367,27.60000038
reptile,Varanus_rosenbergi,1180,100,-35.775,137.214,15.0666666
reptile,Varanus_salvator,7530,906,-21.31,116.062,25.95000076
reptile,Varanus_scalaris,66.4,7.8,-12.333,131.116,27.625
reptile,Vipera_aspis,67.2,6.3,46.123,0.667,11.1916666
mammal,Saccopteryx_bilineata,7.9,16.2,10.42,-84,19.3
mammal,Plecotus_auritus,8.5,27.6,57,-3,5.5
mammal,Myotis_lucifugus,9,29.9,42.88,-71.95,17.9
mammal,Gerbillus_henleyi,9.3,26.5,30.58,34.75,17.7
mammal,Tarsipes_rostratus,9.9,34.4,-30.17,119.52,11
mammal,Anoura_caudifer,11.5,51.9,10,-67,23.9
mammal,Macrotus_californicus,13,21.5,34,-116,23.1
mammal,Peromyscus_crinitus,13.4,39.3,42,-71,-0.3
mammal,Mus_domesticus,15.1,47.1,-34.53,138.43,17
mammal,Cleithrionomys_rutilus,16,57.6,64.85,-147.72,-3
mammal,Antechinus_stuartii,16.2,45.4,-36,149,17.4
mammal,Sminthopsis_crassicaudata,16.6,68.6,-37.9,144.67,14.2
mammal,Syconycteris_australis,17.4,76.9,-29.22,153.35,16
mammal,Peromyscus_maniculatus,17.6,68.4,37,-118,4.5
mammal,Perognathus_formosus,17.9,45.2,36.5,-116,18
mammal,Peromyscus_maniculatus,18.4,46.3,37,-118,15.5
mammal,Mus_musculus,19.3,65.1,-46.9,37.75,7
mammal,Peromyscus_leucopus,19.4,36.6,36,-84,11.8
mammal,Peromyscus_leucopus,19.4,45,43.5,-90,18.7
mammal,Apodemus_sylvaticus,20.5,67.9,57.5,-2.5,7.4
mammal,Eremitalpa_namibensis,20.7,12.5,-23,15,17.3
mammal,Eptesicus_fuscus,20.8,43.6,42,-71,18.1
mammal,Antechinus_stuartii,22.8,54.1,-36,149,5.9
mammal,Gerbillus_allenbyi,22.8,35.6,31.02,34.75,19.4
mammal,Microtus_agrestis,26.5,72.7,53.15,6.55,15
mammal,Antechinus_stuartii,27.8,86.5,-36,149,16.4
mammal,Dipodomys_merriami,28.2,57.8,42,-71,16
mammal,Dipodomys_merriami,31.7,23.2,42,-71,30
mammal,Gerbillus_pyramidum,31.8,45.2,31.02,34.75,19.4
mammal,Dipodomys_merriami,32.4,40.5,42,-71,26
mammal,Antechinus_stuartii,33,86.4,-36,149,11.3
mammal,Phascogale_calura,33.5,61.9,-32.75,117.33,16.4
mammal,Dipodomys_merriami,34.3,41.3,42,-71,12
mammal,Dipodomys_merriami,35.9,56.1,42,-71,12.5
mammal,Microtus_pennsylvanicus,36.9,115,46.87,-71.22,18.7
mammal,Dipodomys_merriami,37.4,61.8,42,-71,1
mammal,Dipodomys_merriami,37.9,68,42,-71,2.5
mammal,Acomys_cahirinus,38.3,51.8,31.47,35.38,17.6
mammal,Antechinus_stuartii,39.5,100.5,-36,149,5.4
mammal,Dipodomys_merriami,39.5,102,42,-71,4
mammal,Dipodomys_merriami,39.7,40.7,42,-71,4
mammal,Sekeetamys_calurus,41.2,44,31.47,35.38,17.6
mammal,Dipodomys_merriami,41.6,69.8,42,-71,17
mammal,Microgale_dobsoni,42.6,77.1,-18.15,47.27,17.6
mammal,Microgale_talazaci,42.8,66.5,-18.47,48.47,19.9
mammal,Pseudomys_nanus,44.4,44.6,-20.75,115.33,25.9
mammal,Acomys_russatus,45,47.8,31.47,35.38,17.6
mammal,Zyzomys_argurus,46.8,15.6,-20.75,115.33,25.9
mammal,Lemmus_trimucronatus,55.2,201,71.3,-156.67,4.2
mammal,Dipodomys_microps,57.1,84.5,42,-71,14.2
mammal,Praomys_natalensis,57.3,86.6,-29.58,30.42,18.6
mammal,Antechinus_swainsonii,62.6,150,-36.5,148.4,8.9
mammal,Microcebus_murinus,64.5,112.1,-20,44.6,22.4
mammal,Meriones_crassus,69.2,65,30.58,34.75,17.7
mammal,Phyllostomus_hastatus,80.8,146,10.5,-61.25,30
mammal,Arvicola_terrestris,85.8,119,47,7,9.8
mammal,Ammospermophilus_leucurus,96.1,94.2,35,-117,21.8
mammal,Ammospermophilus_leucurus,96.1,82.6,35,-117,6.9
mammal,Tamias_striatus,96.3,143,36,-84,11.8
mammal,Thomomys_bottae,104,130,33.75,-116.75,14.9
mammal,Petaurus_breviceps,124,173,-37,142,9.7
mammal,Gymnobelideus_leadbeateri,125,226,-37.57,145.88,10.5
mammal,Psammomys_obesus,170,165,30.87,34.78,17.5
mammal,Spermophilus_saturatus,214,226,47.82,-120.67,13
mammal,Tamiasciurus_hudsonicus,322,347,56.57,-3.67,5.7
mammal,Isoodon_auratus,333,285,-20.75,115.33,26.4
mammal,Sciurus_carolinensis,588,574,56.57,-3.67,5.7
mammal,Bettongia_lesueur,720,442,-20.75,115.33,25.5
mammal,Bassariscus_astutus,752,472,34,-112,26.7
mammal,Suricata_suricatta,761.8,549,-25.9,21.8,23.4
mammal,Potorous_tridactylus,831,590,-38,143,11.1
mammal,Potorous_tridactylus,839,463,-38,143,17.2
mammal,Macrotis_lagotis,848,533.8,-24.22,140.57,30.9
mammal,Macrotis_lagotis,928,655.3,-24.22,140.57,16.2
mammal,Vulpes_cana,972,642,31.47,35.38,18.6
mammal,Petauroides_volans,995,520,-25.47,152.63,18.2
mammal,Pseudocheirus_peregrinus,1000,615,-40.1,148.02,13.3
mammal,Dasyurus_viverrinus,1029,793,-42,147,8.7
mammal,Trichosurus_arnhemensis,1103,324,-20.75,115.33,25.5
mammal,Isoodon_obesulus,1230,644,-32,116,17.9
mammal,Vulpes_macrotis,1480,1180,34,-115.5,18.7
