species,sex,index,mass
Blue,M,1,1032.866809
Blue,M,2,818.8983779
Blue,M,3,944.1179486
Blue,M,4,806.5197523
Blue,M,5,789.4760764
Blue,M,6,501.6642335
Blue,M,7,1321.178933
Blue,M,8,1127.025292
Blue,M,9,842.081344
Blue,M,10,675.6005846
Blue,M,11,1260.524637
Blue,M,12,1337.725789
Blue,M,13,1234.637646
Blue,M,14,833.6722215
Blue,M,15,1078.946242
Blue,M,16,1096.973189
Blue,M,17,1162.57285
Blue,M,18,904.1461579
Blue,M,19,949.3788662
Blue,M,20,922.2428959
Blue,M,21,1247.648507
Blue,M,22,1048.623904
Blue,M,23,1462.659877
Blue,M,24,939.56156
Blue,M,25,1204.761608
Blue,M,26,922.6835014
Blue,M,27,681.0416674
Blue,M,28,732.6654678
Blue,M,29,1000.758076
Blue,M,30,1010.076406
Blue,M,31,744.062707
Blue,M,32,980.0938897
Blue,M,33,1204.998214
Blue,M,34,1024.977178
Blue,M,35,1020.580508
Blue,M,36,1098.958286
Blue,M,37,833.9678779
Blue,M,38,703.8795244
Blue,M,39,1232.400313
Blue,M,40,693.6474891
Blue,M,41,616.3687721
Blue,M,42,1145.768494
Blue,M,43,875.1568183
Blue,M,44,908.6196488
Blue,M,45,1461.068857
Blue,M,46,937.7554017
Blue,M,47,1072.350533
Blue,M,48,963.4983947
Blue,M,49,899.4792893
Blue,M,50,1279.074668
Blue,F,1,1026.031109
Blue,F,2,940.6492252
Blue,F,3,881.3769719
Blue,F,4,984.8901549
Blue,F,5,772.4404066
Blue,F,6,734.0188776
Blue,F,7,1038.81398
Blue,F,8,1091.71698
Blue,F,9,1017.2852
Blue,F,10,1279.356998
Blue,F,11,1123.000592
Blue,F,12,1155.881581
Blue,F,13,1083.140899
Blue,F,14,948.4541004
Blue,F,15,1245.088269
Blue,F,16,1268.668841
Blue,F,17,1376.342978
Blue,F,18,738.482139
Blue,F,19,1167.746231
Blue,F,20,1393.276399
Blue,F,21,963.6873386
Blue,F,22,1050.991507
Blue,F,23,1453.72949
Blue,F,24,1069.887885
Blue,F,25,1028.67131
Blue,F,26,701.2523835
Blue,F,27,691.6806073
Blue,F,28,1001.239698
Blue,F,29,519.656669
Blue,F,30,851.0899345
Blue,F,31,893.0939603
Blue,F,32,980.2242521
Blue,F,33,1309.464731
Blue,F,34,784.2661966
Blue,F,35,969.0117239
Blue,F,36,1298.158005
Blue,F,37,947.4942355
Blue,F,38,744.7131281
Blue,F,39,978.2281565
Blue,F,40,835.5508228
Blue,F,41,659.4080294
Blue,F,42,1108.895759
Blue,F,43,1185.054663
Blue,F,44,944.5833721
Blue,F,45,914.8551371
Blue,F,46,896.4793539
Blue,F,47,1086.742061
Blue,F,48,888.8418034
Blue,F,49,1253.542151
Blue,F,50,816.2489491
Orange,M,1,655.0259757
Orange,M,2,1065.679139
Orange,M,3,911.0288565
Orange,M,4,1259.613301
Orange,M,5,701.2991165
Orange,M,6,732.1305034
Orange,M,7,1113.412409
Orange,M,8,943.4077338
Orange,M,9,1197.717546
Orange,M,10,1036.073034
Orange,M,11,994.4226021
Orange,M,12,738.5342852
Orange,M,13,1015.077368
Orange,M,14,698.9304195
Orange,M,15,1146.876495
Orange,M,16,1419.55523
Orange,M,17,1196.523617
Orange,M,18,811.4441689
Orange,M,19,1050.24008
Orange,M,20,870.2669909
Orange,M,21,898.5480505
Orange,M,22,529.7433548
Orange,M,23,1181.209896
Orange,M,24,1043.946157
Orange,M,25,1085.115434
Orange,M,26,568.6965164
Orange,M,27,801.2514421
Orange,M,28,1145.512963
Orange,M,29,1026.697984
Orange,M,30,767.2948825
Orange,M,31,656.6227333
Orange,M,32,1188.247387
Orange,M,33,1271.042234
Orange,M,34,832.2788101
Orange,M,35,1072.910819
Orange,M,36,959.5304306
Orange,M,37,857.5747361
Orange,M,38,990.2566973
Orange,M,39,823.6454359
Orange,M,40,727.3849564
Orange,M,41,1232.004582
Orange,M,42,1454.579361
Orange,M,43,1361.889827
Orange,M,44,790.5459222
Orange,M,45,1210.572526
Orange,M,46,863.0805161
Orange,M,47,1143.214324
Orange,M,48,1049.900211
Orange,M,49,1214.127046
Orange,M,50,954.0743884
Orange,F,1,1456.047889
Orange,F,2,1471.888036
Orange,F,3,954.7915788
Orange,F,4,799.8156366
Orange,F,5,1213.117982
Orange,F,6,844.9330861
Orange,F,7,645.7355632
Orange,F,8,937.3579143
Orange,F,9,1023.06636
Orange,F,10,605.049049
Orange,F,11,1308.394358
Orange,F,12,1156.563141
Orange,F,13,952.5203553
Orange,F,14,1339.623183
Orange,F,15,1421.026628
Orange,F,16,535.8363458
Orange,F,17,1300.389153
Orange,F,18,1061.196683
Orange,F,19,1237.32622
Orange,F,20,1205.923761
Orange,F,21,695.1592645
Orange,F,22,943.9634725
Orange,F,23,675.4266411
Orange,F,24,1372.012221
Orange,F,25,772.1090137
Orange,F,26,1008.561688
Orange,F,27,1235.649931
Orange,F,28,1131.593652
Orange,F,29,1250.867115
Orange,F,30,952.5565086
Orange,F,31,1175.89309
Orange,F,32,943.9443296
Orange,F,33,807.2294489
Orange,F,34,1176.732651
Orange,F,35,769.285405
Orange,F,36,859.9771231
Orange,F,37,958.3503576
Orange,F,38,961.5072858
Orange,F,39,1212.115367
Orange,F,40,977.4646283
Orange,F,41,1157.064821
Orange,F,42,982.7489076
Orange,F,43,694.5257876
Orange,F,44,906.8160898
Orange,F,45,977.3890535
Orange,F,46,721.8601023
Orange,F,47,1158.174366
Orange,F,48,883.4729258
Orange,F,49,983.6561448
Orange,F,50,1293.034023
