temperature_C,spec,min,second,time
38,s,2.00,20.00,2.333333333
38,s,2.00,54.00,2.9
38,s,6.00,20.00,6.333333333
38,s,12.00,7.00,12.11666667
38,s,12.00,57.00,12.95
38,s,13.00,42.00,13.7
38,s,14.00,35.00,14.58333333
38,s,15.00,26.00,15.43333333
40,s,4.00,13.00,4.216666667
40,s,4.00,33.00,4.55
40,s,4.00,45.00,4.75
40,s,5.00,31.00,5.516666667
40,s,5.00,40.00,5.666666667
40,s,5.00,52.00,5.866666667
40,s,6.00,6.00,6.1
40,s,8.00,16.00,8.266666667
40,p,2,18,2.3
40,p,2,38,2.633333333
40,p,2,47,2.783333333
40,p,2,57,2.95
40,p,3,10,3.166666667
40,p,5,11,5.183333333
41,s,1,55,1.916666667
41,s,2,5,2.083333333
41,s,2,14,2.233333333
41,s,2,46,2.766666667
41,s,3,13,3.216666667
41,s,3,22,3.366666667
41,s,3,31,3.516666667
41,s,3,39,3.65
41,p,0,49,0.816666667
41,p,0,56,0.933333333
41,p,1,2,1.033333333
41,p,1,15,1.25
41,p,1,15,1.25
41,p,1,26,1.433333333
39,s,3,6,3.1
39,s,3,19,3.316666667
39,s,3,57,3.95
39,s,5,15,5.25
39,s,5,24,5.4
39,s,5,31,5.516666667
39,s,5,39,5.65
39,s,5,48,5.8
39,p,1,19,1.316666667
39,p,1,49,1.816666667
39,p,2,17,2.283333333
39,p,2,26,2.433333333
39,p,2,36,2.6
39,p,2,46,2.766666667
38,p,1,13,1.216666667
38,p,1,35,1.583333333
38,p,2,43,2.716666667
38,p,4,10,4.166666667
38,p,4,17,4.283333333
38,p,6,41,6.683333333
