GUID,SCIENTIFIC_NAME,OTHERCATALOGNUMBERS,COORDINATEUNCERTAINTYINMETERS,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,PARTS,DEC_LAT,DEC_LONG,ELEVATION,SEX,ERA
MVZ:Mamm:219990,Tamias alpinus,collector number=23428,,United States,California,"Upper Cathedral Lake, Yosemite National Park",21-Jul-07,skull; tissue (95% ethanol); DNA; study skin,37.84117,-119.41206,2984.6016,female,M
MVZ:Mamm:220005,Tamias alpinus,collector number=23522,,United States,California,"Lower Ottaway Lake, Yosemite National Park",3-Aug-07,,37.64537,-119.41978,2970.276,female,M
MVZ:Mamm:222199,Tamias alpinus,collector number=24290,,United States,California,Mono Pass,23-Jul-08,skull; tissue (95% ethanol); baculum; study skin,37.85461,-119.21362,3252.216,male,M
MVZ:Mamm:219987,Tamias alpinus,collector number=23421,,United States,California,"Upper Cathedral Lake, Yosemite National Park",21-Jul-07,skull; tissue (95% ethanol); study skin,37.84117,-119.41206,2984.6016,female,M
MVZ:Mamm:220003,Tamias alpinus,collector number=23517,,United States,California,"Lower Ottaway Lake, Yosemite National Park",3-Aug-07,tissue (95% ethanol),37.64537,-119.41978,2970.276,female,M
MVZ:Mamm:220004,Tamias alpinus,collector number=23518,,United States,California,"Lower Ottaway Lake, Yosemite National Park",3-Aug-07,tissue (95% ethanol),37.64537,-119.41978,2970.276,female,M
MVZ:Mamm:207199,Tamias alpinus,GenBank=EU259278; collector number=21248,251,United States,California,"E end Fletcher Lake, Yosemite National Park",13-Jul-04,skull; tissue (95% ethanol); study skin; DNA (frozen),37.79778,-119.33617,3160.4712,female,M
MVZ:Mamm:230239,Tamias alpinus,collector number=292,,United States,California,Approximately 400 m NE of Upper Cathedral Lake,9/27/11,"tissue (RNAlater); whole organism (formalin-fixed, 70% ethanol)",37.8408347,-119.4101203,2979,female,M
MVZ:Mamm:217188,Tamias alpinus,collector number=22773,,United States,California,"upper Lyell Canyon, Yosemite National Park",15-Aug-06,tissue (95% ethanol); skin clip (95% ethanol); tissue (95% ethanol) sample,37.75675,-119.25855,3264.408,female,M
MVZ:Mamm:220022,Tamias alpinus,collector number=23592,,United States,California,"Lower Ottaway Lake, Yosemite National Park",9-Aug-07,DNA; tissue (95% ethanol),37.64537,-119.41978,2970.276,male,M
MVZ:Mamm:222206,Tamias alpinus,collector number=426,,United States,California,"Middle Young Lake, Yosemite National Park",5-Aug-08,tissue (RNAlater); study skin,37.93876,-119.34047,3054.096,female,M
MVZ:Mamm:207208,Tamias alpinus,collector number=21314,251,United States,California,"Vogelsang Lake, Yosemite National Park",18-Jul-04,skull; DNA (frozen); tissue (95% ethanol); study skin,37.78769,-119.3469,3170.8344,female,M
MVZ:Mamm:207205,Tamias alpinus,collector number=21295,251,United States,California,"Evelyn Lake, Yosemite National Park",17-Jul-04,skull; tissue (95% ethanol); study skin; DNA (frozen); tissue (95% ethanol) sample,37.80485,-119.32759,3166.872,female,M
MVZ:Mamm:220021,Tamias alpinus,collector number=23585,,United States,California,"Lower Ottaway Lake, Yosemite National Park",8-Aug-07,tissue (95% ethanol),37.64537,-119.41978,2970.276,female,M
MVZ:Mamm:222210,Tamias alpinus,collector number=441,,United States,California,"Middle Young Lake, Yosemite National Park",7-Aug-08,tissue (RNAlater); study skin,37.93876,-119.34047,3054.096,female,M
MVZ:Mamm:220016,Tamias alpinus,collector number=23545,,United States,California,"Lower Ottaway Lake, Yosemite National Park",4-Aug-07,tissue (95% ethanol),37.64537,-119.41978,2970.276,female,M
MVZ:Mamm:220018,Tamias alpinus,collector number=23576,,United States,California,"Lower Ottaway Lake, Yosemite National Park",8-Aug-07,tissue (95% ethanol),37.64537,-119.41978,2970.276,female,M
MVZ:Mamm:220006,Tamias alpinus,collector number=23523,,United States,California,"Lower Ottaway Lake, Yosemite National Park",3-Aug-07,DNA; tissue (95% ethanol),37.64537,-119.41978,2970.276,female,M
MVZ:Mamm:220014,Tamias alpinus,collector number=23534,,United States,California,"Lower Ottaway Lake, Yosemite National Park",4-Aug-07,tissue (95% ethanol),37.64537,-119.41978,2970.276,male,M
MVZ:Mamm:207206,Tamias alpinus,collector number=21311,251,United States,California,"Evelyn Lake, Yosemite National Park",18-Jul-04,skull; DNA (frozen); tissue (95% ethanol); study skin,37.80485,-119.32759,3166.872,female,M
MVZ:Mamm:219991,Tamias alpinus,collector number=23429,,United States,California,"Upper Cathedral Lake, Yosemite National Park",21-Jul-07,skull; tissue (95% ethanol); DNA; study skin,37.84117,-119.41206,2984.6016,female,M
MVZ:Mamm:222201,Tamias alpinus,collector number=24334,,United States,California,"Middle Young Lake, Yosemite National Park",5-Aug-08,study skin; DNA; tissue (95% ethanol),37.93876,-119.34047,3054.096,female,M
MVZ:Mamm:230244,Tamias alpinus,original identifier=518519,,United States,California,"Between trail to Merced Lake and Fletcher Creek, ~770 m S of Vogelsang High Sierra Camp",8/8/13,"skull; tissue (RNAlater); tissue (RNAlater); whole organism (formalin-fixed, 70% ethanol)",37.79082793,-119.3518605,3024.2,female,M
MVZ:Mamm:222200,Tamias alpinus,collector number=24291,,United States,California,Mono Pass,23-Jul-08,skull; tissue (95% ethanol); study skin,37.85461,-119.21362,3252.216,female,M
MVZ:Mamm:217178,Tamias alpinus,collector number=22746,,United States,California,"upper Lyell Canyon, Yosemite National Park",12-Aug-06,skull; tissue (95% ethanol); baculum; study skin,37.76807,-119.25506,3121.152,male,M
MVZ:Mamm:217183,Tamias alpinus,collector number=22752,,United States,California,"upper Lyell Canyon, Yosemite National Park",12-Aug-06,skull; tissue (95% ethanol); study skin,37.76458,-119.25213,3277.8192,female,M
MVZ:Mamm:216690,Tamias alpinus,collector number=3058,21,United States,California,"Kerrick Meadow, Yosemite National Park",18 Aug. 2005,skull; study skin; tissue (95% ethanol),38.11129,-119.4818,2888.2848,female,M
MVZ:Mamm:219988,Tamias alpinus,collector number=23422,,United States,California,"Upper Cathedral Lake, Yosemite National Park",21-Jul-07,skull; tissue (95% ethanol); study skin,37.84117,-119.41206,2984.6016,female,M
MVZ:Mamm:230243,Tamias alpinus,original identifier=836837,,United States,California,"eastern face of Tressider Peak, ~400 m southwest of Upper Cathedral Lake",9/2/12,"skull; tissue (RNAlater); tissue (RNAlater); whole organism (formalin-fixed, 70% ethanol)",37.8374699,-119.4213608,3009,male,M
MVZ:Mamm:220020,Tamias alpinus,collector number=23584,,United States,California,"Lower Ottaway Lake, Yosemite National Park",8-Aug-07,tissue (95% ethanol),37.64537,-119.41978,2970.276,female,M
