cat.num,species,elev.m,sex,era,specific.locality,latitude,longitude,pc1,face.proj,neuro.proj
11931,Tamias speciosus,NA,F,H,unknown,38.8959339,-120.1147683,54.15542695,42.42959725,31.52643509
11933,Tamias speciosus,NA,M,H,unknown,38.8959339,-120.1147683,49.94940815,39.19797756,28.85405418
22707,Tamias speciosus,2012.5944,M,H,unknown,37.758669,-119.5965866,51.01566144,40.44101092,28.95964692
22708,Tamias speciosus,2194.56,F,H,unknown,37.757737,-119.591648,53.17915789,41.43563636,31.06568153
22709,Tamias speciosus,2072.64,F,H,Chinquapin (?),37.66156,-119.68258,51.4896129,40.37689882,29.63887565
22710,Tamias speciosus,2072.64,M,H,Chinquapin (?),37.66156,-119.68258,50.48827994,38.61946337,30.32858976
22712,Tamias speciosus,1920.24,F,H,Crane Flat,37.756856,-119.799191,53.4211431,41.16189949,31.92216071
22713,Tamias speciosus,1920.24,F,H,Crane Flat,37.756856,-119.799191,53.32427161,40.87040068,31.91017016
22714,Tamias speciosus,2225.04,F,H,Mono Meadow (?),37.66855,-119.58804,51.52693448,40.34453151,29.84254361
22715,Tamias speciosus,2225.04,M,H,Mono Meadow (?),37.66855,-119.58804,50.50312402,39.88320701,28.90275143
22716,Tamias speciosus,2225.04,M,H,Mono Meadow (?),37.66855,-119.58804,51.59630114,40.32540819,30.01005047
22717,Tamias speciosus,2194.56,M,H,Chinquapin (?),37.66992,-119.65994,51.24214568,40.33571075,29.5192352
22719,Tamias speciosus,2225.04,F,H,Mono Meadow (?),37.66855,-119.58804,52.00694061,40.23772024,30.71835861
22720,Tamias speciosus,2225.04,M,H,Mono Meadow (?),37.66855,-119.58804,53.6909657,42.27335194,30.86664649
22721,Tamias speciosus,2225.04,M,H,Mono Meadow (?),37.66855,-119.58804,51.2010744,39.81047079,29.94640846
22724,Tamias speciosus,2225.04,F,H,Indian Canyon,37.77432,-119.56902,52.85240674,41.14012049,31.00499302
22725,Tamias speciosus,2225.04,F,H,Indian Canyon,37.77432,-119.56902,52.80773236,41.21002224,30.87933082
22726,Tamias speciosus,2459.736,F,H,Porcupine Flat,37.80526,-119.55632,52.833452,40.55197978,31.60465158
22729,Tamias speciosus,2459.736,F,H,Porcupine Flat,37.80526,-119.55632,50.46044638,39.52118158,29.22553943
22730,Tamias speciosus,2560.32,M,H,unknown,37.814605,-119.499805,50.1375463,38.62940451,29.81367057
22731,Tamias speciosus,2560.32,F,H,unknown,37.814605,-119.499805,50.7541301,39.72091235,29.56261084
22734,Tamias speciosus,2459.736,M,H,Porcupine Flat,37.80526,-119.55632,51.92763269,40.87027321,29.74933689
22735,Tamias speciosus,2459.736,M,H,Porcupine Flat,37.80526,-119.55632,53.09556231,40.89898941,31.70180091
22736,Tamias speciosus,2459.736,M,H,Porcupine Flat,37.80526,-119.55632,50.64992127,38.9306356,30.1664678
22737,Tamias speciosus,2459.736,F,H,Porcupine Flat,37.80526,-119.55632,52.05464053,40.64449675,30.45829359
22738,Tamias speciosus,2459.736,F,H,Porcupine Flat,37.80526,-119.55632,51.25528076,39.26632869,30.55446927
22740,Tamias speciosus,2459.736,M,H,Porcupine Flat,37.80526,-119.55632,52.51986348,40.46209712,31.20890253
22741,Tamias speciosus,2459.736,M,H,Porcupine Flat,37.80526,-119.55632,52.43206881,40.66409967,30.95542225
22742,Tamias speciosus,2459.736,F,H,Porcupine Flat,37.80526,-119.55632,51.72030667,39.9712665,30.60513238
22743,Tamias speciosus,2459.736,M,H,Porcupine Flat,37.80526,-119.55632,51.60377389,40.42161628,29.83970271
22744,Tamias speciosus,2468.88,M,H,unknown,37.84358,-119.44434,50.99508504,40.2530249,29.14877813
22745,Tamias speciosus,2459.736,F,H,Porcupine Flat,37.80526,-119.55632,53.62535492,41.9816199,31.13964145
22747,Tamias speciosus,2621.28,M,H,Tuolumne Meadows,37.87941,-119.39498,53.2825423,41.74817889,30.76519685
22748,Tamias speciosus,2621.28,M,H,Tuolumne Meadows,37.87941,-119.39498,51.08377553,39.95786601,29.60205702
22749,Tamias speciosus,2621.28,M,H,Tuolumne Meadows,37.8794,-119.39498,51.0259917,39.78300647,29.75450605
22750,Tamias speciosus,2621.28,M,H,Tuolumne Meadows,37.8794,-119.39498,50.71832191,39.18731287,29.89631734
22752,Tamias speciosus,2621.28,F,H,Tuolumne Meadows,37.87941,-119.39498,51.02557816,40.07195177,29.38815729
22754,Tamias speciosus,2621.28,M,H,Tuolumne Meadows,37.87941,-119.39498,52.25861132,40.42643212,30.79761732
