GUID,SCIENTIFIC_NAME,OTHERCATALOGNUMBERS,COORDINATEUNCERTAINTYINMETERS,COUNTRY,STATE_PROV,ELEVATION,SPEC_LOCALITY,VERBATIM_DATE,PARTS,DEC_LAT,DEC_LONG,SEX,ERA
MVZ:Mamm:22808,Tamias senex senex,collector number=3252,100,United States,California,2012.5944,"Yosemite Creek, Yosemite National Park",4-Jun-15,skull; study skin,37.758669,-119.5965866,female,H
MVZ:Mamm:22810,Tamias senex senex,collector number=3255,484,United States,California,2133.6,"ridge near Yosemite Point, Yosemite National Park",4-Jun-15,skull; study skin,37.757737,-119.591648,male,H
MVZ:Mamm:181707,Tamias senex senex,collector number=3252,100,United States,California,2012.5944,"Yosemite Creek, Yosemite National Park",4-Jun-15,whole organism (ethanol),37.758669,-119.5965866,unknown,H
MVZ:Mamm:22809,Tamias senex senex,collector number=3254,484,United States,California,2133.6,"ridge near Yosemite Point, Yosemite National Park",4-Jun-15,skull; study skin,37.757737,-119.591648,male,H
MVZ:Mamm:22811,Tamias senex senex,collector number=3256,484,United States,California,2133.6,"ridge near Yosemite Point, Yosemite National Park",4-Jun-15,skull; study skin,37.757737,-119.591648,male,H
MVZ:Mamm:22812,Tamias senex senex,collector number=3280,30,United States,California,1889.76,"Chinquapin, Yosemite National Park",10-Jun-15,skull; study skin,37.652399,-119.702717,female,H
MVZ:Mamm:22792,Tamias senex senex,collector number=3300,497,United States,California,1950.72,"near Chinquapin, Yosemite National Park",11-Jun-15,skull; study skin,37.6558,-119.69851,male,H
MVZ:Mamm:22814,Tamias senex senex,collector number=400,30,United States,California,1889.76,"Chinquapin, Yosemite National Park",12-Jun-15,skull; study skin,37.652399,-119.702717,male,H
MVZ:Mamm:22813,Tamias senex senex,collector number=3302,484,United States,California,1981.2,"near Chinquapin, Yosemite National Park",12-Jun-15,skull; study skin; skeleton,37.65697,-119.69088,female,H
MVZ:Mamm:22815,Tamias senex senex,collector number=3323,30,United States,California,1889.76,"Chinquapin, Yosemite National Park",14-Jun-15,skull; study skin,37.652399,-119.702717,female,H
MVZ:Mamm:22816,Tamias senex senex,collector number=3324,30,United States,California,1889.76,"Chinquapin, Yosemite National Park",14-Jun-15,skull; study skin,37.652399,-119.702717,female,H
MVZ:Mamm:22817,Tamias senex senex,collector number=2026,1219,United States,California,1920.24,"Crane Flat, Yosemite National Park",15-Jun-15,skull; study skin; skeleton,37.756856,-119.799191,female,H
MVZ:Mamm:22818,Tamias senex senex,collector number=3341,484,United States,California,2225.04,"near Mono Meadow, Yosemite National Park",16-Jun-15,skull; study skin,37.66855,-119.58804,female,H
MVZ:Mamm:22819,Tamias senex senex,collector number=3342,484,United States,California,2225.04,"near Mono Meadow, Yosemite National Park",16-Jun-15,skull; study skin,37.66855,-119.58804,female,H
MVZ:Mamm:22820,Tamias senex senex,collector number=3343,484,United States,California,2225.04,"near Mono Meadow, Yosemite National Park",16-Jun-15,skull; study skin,37.66855,-119.58804,male,H
MVZ:Mamm:22822,Tamias senex senex,collector number=3345,484,United States,California,2225.04,"near Mono Meadow, Yosemite National Park",17-Jun-15,skull; study skin,37.66855,-119.58804,female,H
MVZ:Mamm:22823,Tamias senex senex,collector number=3346,484,United States,California,2225.04,"near Mono Meadow, Yosemite National Park",17-Jun-15,skull; DNA; study skin,37.66855,-119.58804,female,H
MVZ:Mamm:22821,Tamias senex senex,collector number=3344,484,United States,California,2225.04,"near Mono Meadow, Yosemite National Park",17-Jun-15,skull; study skin,37.66855,-119.58804,female,H
MVZ:Mamm:22824,Tamias senex senex,collector number=3349,484,United States,California,2225.04,"near Mono Meadow, Yosemite National Park",19-Jun-15,skull; DNA; study skin,37.66855,-119.58804,male,H
MVZ:Mamm:22827,Tamias senex senex,collector number=1274,645,United States,California,2194.56,"E Fork Indian Canyon, Yosemite National Park",20-Jun-15,skull; study skin; DNA; skeleton,37.77432,-119.56902,female,H
MVZ:Mamm:22825,Tamias senex senex,collector number=1269,645,United States,California,2194.56,"E Fork Indian Canyon, Yosemite National Park",20-Jun-15,skull; study skin; skeleton,37.77432,-119.56902,female,H
MVZ:Mamm:22826,Tamias senex senex,collector number=1273,645,United States,California,2194.56,"E Fork Indian Canyon, Yosemite National Park",20-Jun-15,skull; study skin; DNA; skeleton,37.77432,-119.56902,male,H
MVZ:Mamm:22829,Tamias senex senex,collector number=1279,645,United States,California,2194.56,"E Fork Indian Canyon, Yosemite National Park",21-Jun-15,skull; study skin; DNA,37.77432,-119.56902,female,H
MVZ:Mamm:22828,Tamias senex senex,collector number=1278,645,United States,California,2194.56,"E Fork Indian Canyon, Yosemite National Park",21-Jun-15,skull; study skin; DNA; skeleton,37.77432,-119.56902,female,H
MVZ:Mamm:22831,Tamias senex senex,collector number=3380,484,United States,California,2225.04,"near Mono Meadow, Yosemite National Park",22-Jun-15,skull; DNA; study skin,37.66855,-119.58804,female,H
MVZ:Mamm:22830,Tamias senex senex,collector number=1282,645,United States,California,2194.56,"E Fork Indian Canyon, Yosemite National Park",22-Jun-15,skull; study skin; DNA,37.77432,-119.56902,female,H
MVZ:Mamm:22832,Tamias senex senex,collector number=2052,484,United States,California,2225.04,"near Mono Meadow, Yosemite National Park",22-Jun-15,skull; study skin; DNA; skeleton,37.66855,-119.58804,female,H
MVZ:Mamm:22833,Tamias senex senex,collector number=2053,484,United States,California,2225.04,"near Mono Meadow, Yosemite National Park",22-Jun-15,skull; study skin; DNA; skeleton,37.66855,-119.58804,female,H
MVZ:Mamm:22834,Tamias senex senex,collector number=1288,645,United States,California,2194.56,"E Fork Indian Canyon, Yosemite National Park",23-Jun-15,skull; study skin; DNA; skeleton,37.77432,-119.56902,female,H
MVZ:Mamm:22835,Tamias senex senex,collector number=1296,645,United States,California,2194.56,"E Fork Indian Canyon, Yosemite National Park",24-Jun-15,skull; study skin,37.77432,-119.56902,male,H
MVZ:Mamm:22837,Tamias senex senex,collector number=444,645,United States,California,2194.56,"E Fork Indian Canyon, Yosemite National Park",25-Jun-15,skull; study skin; DNA; skeleton,37.77432,-119.56902,female,H
MVZ:Mamm:22836,Tamias senex senex,collector number=2087,645,United States,California,2164.08,"change to ""E fork Indian Canyon Yosemite National Park""",25-Jun-15,skull; study skin; DNA; skeleton,37.77432,-119.56902,female,H
MVZ:Mamm:22838,Tamias senex senex,collector number=3408,1611,United States,California,2459.736,"near Porcupine Flat, Yosemite National Park",27-Jun-15,skull; study skin; DNA,37.80526,-119.55632,female,H
MVZ:Mamm:23280,Tamias senex senex,collector number=7307,1600,United States,California,2225.04,"1 mi E Merced Lake, Yosemite National Park",20-Aug-15,skull; study skin,37.73082,-119.39231,male,H
MVZ:Mamm:23275,Tamias senex senex,collector number=3440,1600,United States,California,2225.04,"1 mi E Merced Lake, Yosemite National Park",20-Aug-15,skull; study skin,37.73082,-119.39231,male,H
MVZ:Mamm:23276,Tamias senex senex,collector number=3453,1600,United States,California,2225.04,"1 mi E Merced Lake, Yosemite National Park",21-Aug-15,skull; study skin,37.73082,-119.39231,male,H
MVZ:Mamm:23495,Tamias senex senex,collector number=7330,1600,United States,California,2225.04,"1 mi E Merced Lake, Yosemite National Park",22-Aug-15,skull; skeleton,37.73082,-119.39231,male,H
MVZ:Mamm:23282,Tamias senex senex,collector number=7336,1600,United States,California,2225.04,"1 mi E Merced Lake, Yosemite National Park",23-Aug-15,skull; DNA; study skin,37.73082,-119.39231,male,H
MVZ:Mamm:23281,Tamias senex senex,collector number=7332,1600,United States,California,2225.04,"1 mi E Merced Lake, Yosemite National Park",23-Aug-15,skull; DNA; study skin,37.73082,-119.39231,female,H
MVZ:Mamm:23284,Tamias senex senex,collector number=7350,1600,United States,California,2225.04,"1 mi E Merced Lake, Yosemite National Park",24-Aug-15,skull; DNA; study skin,37.73082,-119.39231,male,H
MVZ:Mamm:23283,Tamias senex senex,collector number=7349,1600,United States,California,2225.04,"1 mi E Merced Lake, Yosemite National Park",24-Aug-15,skull; study skin; DNA,37.73082,-119.39231,female,H
MVZ:Mamm:23277,Tamias senex senex,collector number=3478,1600,United States,California,2225.04,"1 mi E Merced Lake, Yosemite National Park",24-Aug-15,skull; study skin,37.73082,-119.39231,male,H
MVZ:Mamm:23286,Tamias senex senex,collector number=7365,2816,United States,California,2743.2,"Clouds Rest Trail, Yosemite National Park",25-Aug-15,skull; study skin,37.758764,-119.496926,female,H
MVZ:Mamm:23278,Tamias senex senex,collector number=3496,1600,United States,California,2225.04,"1 mi E Merced Lake, Yosemite National Park",25-Aug-15,skull; study skin,37.73082,-119.39231,male,H
MVZ:Mamm:23287,Tamias senex senex,collector number=7368,855,United States,California,2072.64,"Echo Creek Basin, Yosemite National Park",25-Aug-15,skull; study skin,37.74407,-119.43223,female,H
