GUID,SCIENTIFIC_NAME,OTHERCATALOGNUMBERS,COORDINATEUNCERTAINTYINMETERS,COUNTRY,STATE_PROV,ELEVATION,SPEC_LOCALITY,VERBATIM_DATE,PARTS,DEC_LAT,DEC_LONG,SEX,ERA
MVZ:Mamm:22762,Tamias speciosus frater,collector number=1388,162,United States,California,2743.2,"head of Lyell Canyon, Yosemite National Park",16-Jul-15,skull; study skin; DNA,37.7896535,-119.2610089,male,H
MVZ:Mamm:23419,Tamias speciosus frater,collector number=7730,499,United States,California,1950.72,"Aspen Valley, Yosemite National Park",14-Oct-15,skull; study skin,37.827725,-119.771211,female,H
MVZ:Mamm:23387,Tamias speciosus frater,collector number=7333,1600,United States,California,2225.04,"1 mi E Merced Lake, Yosemite National Park",23-Aug-15,skull; DNA; study skin,37.73082,-119.39231,female,H
MVZ:Mamm:23496,Tamias speciosus frater,collector number=7329,1600,United States,California,2225.04,"1 mi E Merced Lake, Yosemite National Park",22-Aug-15,skull; skeleton,37.73082,-119.39231,female,H
MVZ:Mamm:23422,Tamias speciosus frater,collector number=7754,499,United States,California,1950.72,"Aspen Valley, Yosemite National Park",16-Oct-15,skull; study skin,37.827725,-119.771211,female,H
MVZ:Mamm:22735,Tamias speciosus frater,collector number=1773,1611,United States,California,2459.736,"near Porcupine Flat, Yosemite National Park",29-Jun-15,skull; study skin; DNA,37.80526,-119.55632,male,H
MVZ:Mamm:22709,Tamias speciosus frater,collector number=3304,484,United States,California,2072.64,"near Chinquapin, Yosemite National Park",12-Jun-15,skull; DNA; study skin,37.66156,-119.68258,female,H
MVZ:Mamm:22711,Tamias speciosus frater,collector number=409,1059,United States,California,1874.52,"0.5 mi S Crane Flat, Yosemite National Park",16-Jun-15,skull; study skin; skeleton,37.75164,-119.79932,male,H
MVZ:Mamm:22715,Tamias speciosus frater,collector number=3350,484,United States,California,2225.04,"near Mono Meadow, Yosemite National Park",19-Jun-15,skull; study skin; study skin sample,37.66855,-119.58804,male,H
MVZ:Mamm:22723,Tamias speciosus frater,collector number=1281,645,United States,California,2194.56,"E Fork Indian Canyon, Yosemite National Park",22-Jun-15,skull; study skin; study skin sample,37.77432,-119.56902,female,H
MVZ:Mamm:99850,Tamias speciosus frater,collector number=486,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",7-Aug-40,whole organism (ethanol),37.87941,-119.39498,female,H
MVZ:Mamm:99854,Tamias speciosus frater,collector number=495,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",8-Aug-40,whole organism (ethanol),37.87941,-119.39498,female,H
MVZ:Mamm:22756,Tamias speciosus frater,collector number=2179,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",12-Jul-15,skull; study skin; DNA; skeleton,37.87941,-119.39498,male,H
MVZ:Mamm:22758,Tamias speciosus frater,collector number=2182,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",12-Jul-15,skull; study skin; DNA; skeleton,37.87941,-119.39498,male,H
MVZ:Mamm:23393,Tamias speciosus frater,collector number=3502,211,United States,California,2865.12,"McClure Fork of Merced River [=Lewis Creek], Yosemite National Park",26-Aug-15,skull; DNA; study skin,37.76083,-119.34999,female,H
MVZ:Mamm:23384,Tamias speciosus frater,collector number=3454,1600,United States,California,2225.04,"1 mi E Merced Lake, Yosemite National Park",21-Aug-15,skull; DNA; study skin,37.73082,-119.39231,female,H
MVZ:Mamm:23420,Tamias speciosus frater,collector number=7735,499,United States,California,1950.72,"Aspen Valley, Yosemite National Park",14-Oct-15,skull; study skin,37.827725,-119.771211,female,H
MVZ:Mamm:23405,Tamias speciosus frater,collector number=7667,30,United States,California,2377.44,"White Cascade, Tuolumne River, Yosemite National Park",30-Sep-15,skull; study skin,37.909274,-119.419292,female,H
MVZ:Mamm:22707,Tamias speciosus frater,collector number=3253,100,United States,California,2012.5944,"Yosemite Creek, Yosemite National Park",4-Jun-15,skull; study skin; study skin sample,37.758669,-119.5965866,male,H
MVZ:Mamm:23392,Tamias speciosus frater,collector number=3501,211,United States,California,2956.56,"upper McClure Fork [=Lewis Creek], Yosemite National Park",26-Aug-15,skull; study skin; DNA,37.76724,-119.3445,male,H
MVZ:Mamm:23409,Tamias speciosus frater,collector number=7676,30,United States,California,2895.6,"1 mi E Mattie Lake, Yosemite National Park",2-Oct-15,skull; study skin,37.934294,-119.423148,female,H
MVZ:Mamm:22733,Tamias speciosus frater,collector number=2091,1611,United States,California,2459.736,"near Porcupine Flat, Yosemite National Park",28-Jun-15,skull; study skin; DNA (frozen); skeleton,37.80526,-119.55632,male,H
MVZ:Mamm:22734,Tamias speciosus frater,collector number=2092,1611,United States,California,2459.736,"near Porcupine Flat, Yosemite National Park",28-Jun-15,skull; study skin; DNA (frozen); skeleton,37.80526,-119.55632,male,H
MVZ:Mamm:22713,Tamias speciosus frater,collector number=411,1219,United States,California,1920.24,"Crane Flat, Yosemite National Park",16-Jun-15,skull; DNA; study skin,37.756856,-119.799191,female,H
MVZ:Mamm:22718,Tamias speciosus frater,collector number=2054,484,United States,California,2225.04,"near Mono Meadow, Yosemite National Park",22-Jun-15,skull; study skin; DNA; skeleton,37.66855,-119.58804,female,H
MVZ:Mamm:22725,Tamias speciosus frater,collector number=1287,645,United States,California,2194.56,"E Fork Indian Canyon, Yosemite National Park",23-Jun-15,skull; study skin; skeleton; study skin sample,37.77432,-119.56902,female,H
MVZ:Mamm:22742,Tamias speciosus frater,collector number=2133,1611,United States,California,2459.736,"near Porcupine Flat, Yosemite National Park",2-Jul-15,skull; study skin; skeleton; study skin sample,37.80526,-119.55632,female,H
MVZ:Mamm:22744,Tamias speciosus frater,collector number=2136,323,United States,California,2468.88,"Tenaya Lake, Yosemite National Park",3-Jul-15,skull; study skin; skeleton,37.84358,-119.44434,male,H
MVZ:Mamm:22750,Tamias speciosus frater,collector number=485,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",6-Jul-15,skull; study skin; DNA; skeleton,37.8794,-119.39498,male,H
MVZ:Mamm:22755,Tamias speciosus frater,collector number=2171,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",10-Jul-15,skull; study skin; DNA; skeleton,37.87941,-119.39498,male,H
MVZ:Mamm:22766,Tamias speciosus frater,collector number=2233,162,United States,California,2987.04,"head of Lyell Canyon, Yosemite National Park",20-Jul-15,skull; DNA; study skin,37.7741135,-119.2597501,female,H
MVZ:Mamm:22772,Tamias speciosus frater,collector number=2276,162,United States,California,3048,"head of Lyell Canyon, Yosemite National Park",26-Jul-15,skull; study skin; DNA; skeleton,37.7721809,-119.2574555,female,H
MVZ:Mamm:23403,Tamias speciosus frater,collector number=1485,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",29-Sep-15,skull; study skin,37.8785,-119.3665,female,H
MVZ:Mamm:22741,Tamias speciosus frater,collector number=470,1611,United States,California,2459.736,"near Porcupine Flat, Yosemite National Park",1-Jul-15,skull; DNA; study skin,37.80526,-119.55632,male,H
MVZ:Mamm:99852,Tamias speciosus frater,collector number=492,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",8-Aug-40,skull; skeleton,37.87941,-119.39498,female,H
MVZ:Mamm:22773,Tamias speciosus frater,collector number=2277,162,United States,California,3048,"head of Lyell Canyon, Yosemite National Park",26-Jul-15,skull; study skin; DNA; skeleton,37.7721809,-119.2574555,female,H
MVZ:Mamm:23423,Tamias speciosus frater,collector number=7755,499,United States,California,1950.72,"Aspen Valley, Yosemite National Park",16-Oct-15,skull; study skin,37.827725,-119.771211,male,H
MVZ:Mamm:23410,Tamias speciosus frater,collector number=7674,238,United States,California,2377.44,"Glen Aulin, Tuolumne River, Yosemite National Park",2-Oct-15,skull; DNA; study skin,37.91206,-119.42135,female,H
MVZ:Mamm:22753,Tamias speciosus frater,collector number=2165,148,United States,California,3048,"3 mi N Tuolumne Meadows above Soda Springs, Yosemite National Park",9-Jul-15,skull; study skin; DNA,37.91138,-119.34857,female,H
MVZ:Mamm:22754,Tamias speciosus frater,collector number=2170,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",10-Jul-15,skull; study skin; DNA; skeleton,37.87941,-119.39498,male,H
MVZ:Mamm:22759,Tamias speciosus frater,collector number=2180,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",13-Jul-15,skull; study skin; DNA; skeleton,37.87941,-119.39498,male,H
MVZ:Mamm:22761,Tamias speciosus frater,collector number=1387,162,United States,California,2895.6,"head of Lyell Canyon, Yosemite National Park",16-Jul-15,skull; study skin; DNA,37.7832441,-119.2620922,male,H
MVZ:Mamm:22769,Tamias speciosus frater,collector number=2245,162,United States,California,2956.56,"head of Lyell Canyon, Yosemite National Park",22-Jul-15,skull; study skin; DNA; skeleton,37.7769743,-119.2608776,female,H
MVZ:Mamm:22771,Tamias speciosus frater,collector number=1426,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",25-Jul-15,skull; study skin; DNA,37.8785,-119.3665,female,H
MVZ:Mamm:22716,Tamias speciosus frater,collector number=3351,484,United States,California,2225.04,"near Mono Meadow, Yosemite National Park",19-Jun-15,skull; study skin; study skin sample,37.66855,-119.58804,male,H
MVZ:Mamm:22768,Tamias speciosus frater,collector number=2243,805,United States,California,3048,"McClure Fork, head of Lyell Canyon, Yosemite National Park",22-Jul-15,DNA; study skin,37.7729,-119.2629,male,H
MVZ:Mamm:23395,Tamias speciosus frater,collector number=7483,404,United States,California,3154.68,Vogelsang Lake,4-Sep-15,skull; study skin,37.78762,-119.34099,female,H
MVZ:Mamm:23415,Tamias speciosus frater,collector number=7715,821,United States,California,2804.16,"Ten Lakes, Yosemite National Park",9-Oct-15,skull; study skin,37.90351,-119.52754,female,H
